where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

give me the lakes in state0 ? ||| select lake.lake_name from lake where lake.state_name = ' state0 ' ;

how many cities are there in the us ? ||| select count ( city.city_name ) from city ;

how many cities are there in usa ? ||| select count ( city.city_name ) from city ;

what is the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

how many states border state0 and border state1 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' state1 ' ) ;

what is the population density of the smallest state ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

what is the largest state that borders the state with the lowest point in the usa ? ||| select border_info.state_name from state , border_info , highlow where ( state.state_name = border_info.border ) and ( border_info.border = highlow.state_name ) and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) order by state.area desc limit 1 ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the most populous state in the us ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what state borders state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

how many rivers are in the state with the largest population ? ||| select count ( river.river_name ) from river , state where river.traverse = state.state_name and state.state_name = ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

what rivers flow through the largest state ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' ;

how many people stay in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

how many rivers in state0 are longer than the river0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' and river.length > all ( select river.length from river where river.river_name = ' river0 ' ) ;

what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

what is the length of the river0 in state0 ? ||| select river.length from river where river.river_name = ' river0 ' and river.traverse = ' state0 ' ;

what is the size of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the largest city of state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what are the biggest rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

what states does the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

where is mountain0 ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' mountain0 ' ;

what state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what rivers flow through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

what is the longest river that flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

which states does the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what are the populations of the states through which the river0 runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

what states have rivers named river0 ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

how many states border state0 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' ;

what states does the shortest river run through ? ||| select river.traverse from river where river.length = ( select min ( river.length ) from river ) ;

how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;

how big is state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what is the largest city in state0 by population ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the longest river that does not run through state0 ? ||| select distinct river.river_name from river where not river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where not river.traverse = ' state0 ' ) ;

what rivers flow through the state with the largest population ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

how many rivers are there in us ? ||| select count ( river.river_name ) from river ;

what is the elevation of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;

what state has the capital city0 ? ||| select state.state_name from state where state.capital = ' city0 ' ;

what are the capitals of the states that border state0 ? ||| select state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border = ' state0 ' ) ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

what are the major cities of state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what are the names of the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what capital is the largest in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

what state has the smallest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;

what are the states that border the state with the greatest population ? ||| select border_info.state_name from state , border_info where state.state_name = border_info.border and state.population = ( select max ( state.population ) from state ) ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

how many states border the river0 ? ||| select count ( distinct border_info.border ) from border_info where border_info.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

how many major cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the biggest state in the usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the biggest city in the usa? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what is the shortest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select min ( river.length ) from river where river.traverse = ' state0 ' ) ;

what is the area of the smallest state ? ||| select state.area from state where state.area = ( select min ( state.area ) from state ) ;

what is the shortest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select min ( river.length ) from river where river.traverse = ' state0 ' ) ;

what is the population of the capital of the largest state ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select max ( state.area ) from state ) ) ;

what are the rivers of state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the longest river ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

name the 50 capitals in the usa . ||| select distinct state.capital from state ;

what is the shortest river in the usa ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

what is the smallest state through which the longest river runs ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) ) ;

what state has the highest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

how many states border the state that borders the most states ? ||| select max ( tmp.states ) from ( select count ( distinct border_info.border ) as states , state_name from border_info group by state_name ) as tmp ;

what river runs through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

in what state is mountain0 ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' mountain0 ' ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what states neighbor state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

of the states washed by the river0 which has the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow , river where ( river.river_name = ' river0 ' ) and ( river.traverse = highlow.state_name ) ) ;

what is the length of the river that runs through the most number of states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;

what is the largest state traversed by the river0 ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' state0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ) ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

which state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the capital of the largest state ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

how many major cities are there in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;

how high is the highest point of state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;

how many states does state0 border ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' ;

what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;

what is the adjacent state of state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

how many major cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;

what cities are located in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' ;

what is the largest state that borders the state with the highest population ? ||| select state.state_name from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) ) ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

what is the biggest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

what is the population density in the state with capital  ? ||| select state.density from state where state.capital = ' city0 ' ;

what state has the city with the largest population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

what state0 city has the largest population ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what rivers run through the states that border the state with the capital city0 ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.capital = ' city0 ' ) ) ;

what is the smallest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select min ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

which state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

what is the largest state in usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is largest capital ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

number of citizens in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the lowest elevation in state0 ? ||| select highlow.lowest_elevation from highlow where highlow.state_name = ' state0 ' ;

how many states have a city named city0 ? ||| select count ( city.state_name ) from city where city.city_name = ' city0 ' ;

how many cities does state0 have ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

how many rivers do not traverse the state with the capital city0 ? ||| select count ( river.river_name ) from river where river.traverse not in ( select state.state_name from state where state.capital = ' city0 ' ) ;

what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what state has the smallest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how many people are in the state of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what states border states which the river0 runs through ? ||| select border_info.border from border_info where border_info.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

what state has the city city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

how many rivers run through the states bordering state0 ? ||| select count ( river.river_name ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what states are next to state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the most populous city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the lowest point in the united states ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the largest state bordering state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what state is city0 the capital of ? ||| select state.state_name from state where state.capital = ' city0 ' ;

which state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what state contains the highest point in the us ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the longest river in the smallest state in the usa ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) ;

people in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the total area of the usa ? ||| select sum ( state.area ) from state ;

what city has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the longest river in america ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the highest mountain in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what is the smallest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select min ( city.population ) from city where city.state_name = ' state0 ' ) ;

how many rivers are there in us ? ||| select count ( river.river_name ) from river ;

what is the population density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

what is the most populated state bordering state0 ? ||| select distinct state.state_name from border_info , state where border_info.state_name = ' state0 ' and state.state_name = border_info.border and state.population = ( select max ( state.population ) from border_info , state where border_info.state_name = ' state0 ' and state.state_name = border_info.border ) ;

what mountains are in state0 ? ||| select mountain.mountain_name from mountain where mountain.state_name = ' state0 ' ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

how many people live in the smallest state bordering state0 ? ||| select state.population from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

which rivers flow through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the average population per square km in state0 ? ||| select state.population / state.area from state where state.state_name = ' state0 ' ;

state the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

how many states have major rivers ? ||| select count ( river.traverse ) from river where river.length > number0 ;

how many rivers in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

what is the city with the smallest population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;

how many big cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the area of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

which states does the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what is the total length of all the rivers in the usa ? ||| select sum ( river.length ) from river ;

what states capital is city0 ? ||| select state.state_name from state where state.capital = ' city0 ' ;

how many states are there in the united states ? ||| select count ( state.state_name ) from state ;

how many states border the state whose capital is city0 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ( select state.state_name from state where state.capital = ' city0 ' ) ;

give me the cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' ;

what are the states that the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what is the tallest mountain in us ? ||| select mountain.mountain_name from mountain where mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

what is the capital of the state with the lowest point ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

which is the smallest state bordering state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what are major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

how big is state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

which capitals are in states that border state0 ? ||| select state.capital from state , border_info where border_info.border = state.state_name and border_info.state_name = ' state0 ' ;

what is the area of the largest state in the us ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;

what is the smallest city in the smallest state ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

give me the longest river that runs through a state in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what cities in state0 have highest populations ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;

what is the largest state that the river0 runs through ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ) ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what rivers do not run through state0 ? ||| select river.river_name from river where river.river_name not in ( select river.river_name from river where river.traverse = ' state0 ' ) ;

what is the lowest point in the usa ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

which is the highest mountain in the us ? ||| select mountain.mountain_name from mountain where and mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

what are the cities of the state with the lowest point ? ||| select city.city_name from city , highlow where city.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

which state is traversed by the most rivers ? ||| select river.traverse from river , state where river.traverse = state.state_name group by state_name order by count ( river.river_name ) desc limit 1 ;

what are the capital city in state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the capital of the largest state in usa ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

what are the major rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;

what are the capitals of the states that border states bordering state0 ? ||| select distinct state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border in ( select border_info.state_name from border_info where border_info.border = ' state0 ' ) ) ;

citizens in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how many major cities are there in us ? ||| select count ( city.city_name ) from city where city.population > number0 ;

how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;

what is the capital of the state that has the longest river ? ||| select state.capital from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) ;

what are the states next to the river0 ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what are the capitals of states that border state0 ? ||| select state.capital from state , border_info where border_info.border = state.state_name and border_info.state_name = ' state0 ' ;

what is the largest city ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

which rivers are in states that border state0 ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

which states does the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

which states border state0 and state1 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' state1 ' ) ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

how many rivers are in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what is the area of the state with the largest population density ? ||| select state.area from state where state.density = ( select max ( state.density ) from state ) ;

what is the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what are the cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' ;

what is the biggest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what states in the united states have a city of city0 ? ||| select city.state_name from city , state where city.state_name = state.state_name and city.city_name = ' city0 ' ;

what is the average population per square km in the us ? ||| select sum ( state.population ) / sum ( state.area ) from state ;

what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

what river flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

how many states are next to major rivers ? ||| select count ( distinct river.traverse ) from river where river.length > number0 ;

which states have points higher than the highest point in state0 ? ||| select highlow.state_name from highlow where highlow.highest_elevation > ( select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ) ;

in which state is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what state has the highest elevation ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what are the populations of the states through which the river0 river runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

show major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

what is the lowest point of state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

states bordering state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the population of the largest state ? ||| select state.population from state where state.area = ( select max ( state.area ) from state ) ;

what is the smallest state in the usa ? ||| select state.state_name from state where state.area = ( select min ( state.area ) from state ) ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

which state borders state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the smallest state that borders state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

which rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the population density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;

where is state0 ? ||| select state.country_name from state where state.state_name = ' state0 ' ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

how many rivers run through state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what is the smallest state bordering state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

how high are the highest points of all the states ? ||| select highlow.highest_elevation from highlow ;

what is the longest river in the united states ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what are the rivers in the state of state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the most populated capital in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the area of state0 in square kilometers ? ||| select state.area from state where state.state_name = ' state0 ' ;

how many major rivers cross state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' and river.length > number0 ;

what river flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

give me the cities in usa ? ||| select city.city_name from city ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

what are the capitals of the states that border state0 ? ||| select state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border = ' state0 ' ) ;

what is the lowest point of the state with the largest area ? ||| select highlow.lowest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

