where is san jose ? ||| select city.state_name from city where city.city_name = ' san jose ' ;

how many cities are there in usa ? ||| select count ( city.city_name ) from city ;

what is the major cities in montana ? ||| select city.city_name from city where city.state_name = ' montana ' and city.population > 150000 ;

how many states border colorado and border new mexico ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' colorado ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' new mexico ' ) ;

what is the population density of the smallest state ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

what is the largest state that borders the state with the lowest point in the usa ? ||| select border_info.state_name from state , border_info , highlow where ( state.state_name = border_info.border ) and ( border_info.border = highlow.state_name ) and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) order by state.area desc limit 1 ;

what is the population of texas ? ||| select state.population from state where state.state_name = ' texas ' ;

what is the most populous state in the us ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

what is the lowest point in wisconsin ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' wisconsin ' ;

what state borders michigan ? ||| select border_info.border from border_info where border_info.state_name = ' michigan ' ;

how many rivers are in the state with the largest population ? ||| select count ( river.river_name ) from river , state where river.traverse = state.state_name and state.state_name = ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

what rivers flow through the largest state ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many cities are in louisiana ? ||| select count ( city.city_name ) from city where city.state_name = ' louisiana ' ;

how many people stay in utah ? ||| select state.population from state where state.state_name = ' utah ' ;

what is the biggest city in arizona ? ||| select city.city_name from city where city.state_name = ' arizona ' and city.population = ( select max ( city.population ) from city where city.state_name = ' arizona ' ) ;

how many rivers in texas are longer than the red ? ||| select count ( river.river_name ) from river where river.traverse = ' texas ' and river.length > ( select distinct river.length from river where river.river_name = ' red ' ) ;

what is the lowest point in louisiana ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' louisiana ' ;

what is the longest river in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length = ( select max ( river.length ) from river where river.traverse = ' texas ' ) ;

what is the length of the colorado river in texas ? ||| select river.length from river where river.river_name = ' colorado ' and river.traverse = ' texas ' ;

what is the size of california ? ||| select state.area from state where state.state_name = ' california ' ;

what is the population of sacramento ? ||| select city.population from city where city.city_name = ' sacramento ' ;

what is the largest city of kansas ? ||| select city.city_name from city where city.state_name = ' kansas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' kansas ' ) ;

what are the biggest rivers in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length = ( select max ( river.length ) from river where river.traverse = ' texas ' ) ;

what is the population of springfield missouri ? ||| select city.population from city where city.city_name = ' springfield ' and city.state_name = ' missouri ' ;

what states does the missouri river run through ? ||| select river.traverse from river where river.river_name = ' missouri ' ;

where is mount whitney ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' whitney ' ;

what state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what rivers flow through missouri ? ||| select river.river_name from river where river.traverse = ' missouri ' ;

what state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

what are the major cities in new mexico ? ||| select city.city_name from city where city.state_name = ' new mexico ' and city.population > 150000 ;

what is the longest river in pennsylvania ? ||| select river.river_name from river where river.traverse = ' pennsylvania ' and river.length = ( select max ( river.length ) from river where river.traverse = ' pennsylvania ' ) ;

what is the longest river that flows through colorado ? ||| select river.river_name from river where river.traverse = ' colorado ' and river.length = ( select max ( river.length ) from river where river.traverse = ' colorado ' ) ;

what are the major cities in rhode island ? ||| select city.city_name from city where city.state_name = ' rhode island ' and city.population > 150000 ;

which states does the mississippi river run through ? ||| select river.traverse from river where river.river_name = ' mississippi ' ;

what are the populations of the states through which the mississippi runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

what states have rivers named colorado ? ||| select river.traverse from river where river.river_name = ' colorado ' ;

how many states border hawaii ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' hawaii ' ;

what states does the shortest river run through ? ||| select river.traverse from river where river.length = ( select min ( river.length ) from river ) ;

how many states does the mississippi river run through ? ||| select count ( river.traverse ) from river where river.river_name = ' mississippi ' ;

how big is north dakota ? ||| select state.area from state where state.state_name = ' north dakota ' ;

what is the largest city in minnesota by population ? ||| select city.city_name from city where city.state_name = ' minnesota ' and city.population = ( select max ( city.population ) from city where city.state_name = ' minnesota ' ) ;

what is the longest river that does not run through texas ? ||| select distinct river.river_name from river where not river.traverse = ' texas ' and river.length = ( select max ( river.length ) from river where not river.traverse = ' texas ' ) ;

what rivers flow through the state with the largest population ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

how many rivers are there in us ? ||| select count ( river.river_name ) from river ;

what is the elevation of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;

what state has the capital salem ? ||| select state.state_name from state where state.capital = ' salem ' ;

what are the capitals of the states that border texas ? ||| select state.capital from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ;

what is the capital of maine ? ||| select state.capital from state where state.state_name = ' maine ' ;

what are the major cities of texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population > 150000 ;

what are the names of the major cities in illinois ? ||| select city.city_name from city where city.state_name = ' illinois ' and city.population > 150000 ;

what capital is the largest in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

what state has the smallest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;

what are the states that border the state with the greatest population ? ||| select border_info.state_name from state , border_info where state.state_name = border_info.border and state.population = ( select max ( state.population ) from state ) ;

where is scotts valley ? ||| select city.state_name from city where city.city_name = ' scotts valley ' ;

how many states border the mississippi river ? ||| select count ( distinct border_info.border ) from border_info where border_info.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

how many major cities are in arizona ? ||| select count ( city.city_name ) from city where city.state_name = ' arizona ' and city.population > 150000 ;

what is the biggest state in the usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the biggest city in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

what rivers are in oregon ? ||| select river.river_name from river where river.traverse = ' oregon ' ;

what is the lowest point in oregon ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' oregon ' ;

what is the shortest river in alaska ? ||| select river.river_name from river where river.traverse = ' alaska ' and river.length = ( select min ( river.length ) from river where river.traverse = ' alaska ' ) ;

what is the area of the smallest state ? ||| select state.area from state where state.area = ( select min ( state.area ) from state ) ;

what is the shortest river in nebraska ? ||| select river.river_name from river where river.traverse = ' nebraska ' and river.length = ( select min ( river.length ) from river where river.traverse = ' nebraska ' ) ;

what is the population of the capital of the largest state ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select max ( state.area ) from state ) ) ;

what are the rivers of montana ? ||| select river.river_name from river where river.traverse = ' montana ' ;

what is the longest river ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

name the 50 capitals in the usa . ||| select distinct state.capital from state ;

what is the shortest river in the usa ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

what is the smallest state through which the longest river runs ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) ) ;

what state has the highest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

how many people live in new hampshire ? ||| select state.population from state where state.state_name = ' new hampshire ' ;

how many states border the state that borders the most states ? ||| select max ( tmp.states ) from ( select count ( distinct border_info.border ) as states , state_name from border_info group by state_name ) as tmp ;

what river runs through illinois ? ||| select river.river_name from river where river.traverse = ' illinois ' ;

what is the population of atlanta ? ||| select city.population from city where city.city_name = ' atlanta ' ;

in what state is mount mckinley ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' mckinley ' ;

what is the population of montana ? ||| select state.population from state where state.state_name = ' montana ' ;

what states neighbor maine ? ||| select border_info.border from border_info where border_info.state_name = ' maine ' ;

where is new orleans ? ||| select city.state_name from city where city.city_name = ' new orleans ' ;

of the states washed by the mississippi river which has the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow , river where ( river.river_name = ' mississippi ' ) and ( river.traverse = highlow.state_name ) ) ;

what is the length of the river that runs through the most number of states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;

what is the largest state traversed by the mississippi river ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ) ;

what is the population of illinois ? ||| select state.population from state where state.state_name = ' illinois ' ;

what is the largest city in missouri ? ||| select city.city_name from city where city.state_name = ' missouri ' and city.population = ( select max ( city.population ) from city where city.state_name = ' missouri ' ) ;

what states border wisconsin ? ||| select border_info.border from border_info where border_info.state_name = ' wisconsin ' ;

which state is kalamazoo in ? ||| select city.state_name from city where city.city_name = ' kalamazoo ' ;

what is the capital of the largest state ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

how many major cities are there in oregon ? ||| select count ( city.city_name ) from city where city.state_name = ' oregon ' and city.population > 150000 ;

how high is the highest point of louisiana ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' louisiana ' ;

how many states does iowa border ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' iowa ' ;

what rivers are in nevada ? ||| select river.river_name from river where river.traverse = ' nevada ' ;

how many people live in austin ? ||| select city.population from city where city.city_name = ' austin ' ;

how long is the missouri river ? ||| select river.length from river where river.river_name = ' missouri ' ;

what is the adjacent state of california ? ||| select border_info.border from border_info where border_info.state_name = ' california ' ;

how many major cities are in texas ? ||| select count ( city.city_name ) from city where city.state_name = ' texas ' and city.population > 150000 ;

what cities are located in pennsylvania ? ||| select city.city_name from city where city.state_name = ' pennsylvania ' ;

what is the largest state that borders the state with the highest population ? ||| select state.state_name from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) ) ;

what is the capital of maryland ? ||| select state.capital from state where state.state_name = ' maryland ' ;

what is the biggest river in illinois ? ||| select river.river_name from river where river.traverse = ' illinois ' and river.length = ( select max ( river.length ) from river where river.traverse = ' illinois ' ) ;

what is the population density in the state with capital austin ? ||| select state.density from state where state.capital = ' austin ' ;

what state has the city with the largest population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what is the capital of texas ? ||| select state.capital from state where state.state_name = ' texas ' ;

what texas city has the largest population ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

what rivers run through the states that border the state with the capital atlanta ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.capital = ' atlanta ' ) ) ;

what is the smallest city in alaska ? ||| select city.city_name from city where city.state_name = ' alaska ' and city.population = ( select min ( city.population ) from city where city.state_name = ' alaska ' ) ;

what is the largest city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

what is the population of rhode island ? ||| select state.population from state where state.state_name = ' rhode island ' ;

which state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

what is the largest state in usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is largest capital ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

number of citizens in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;

how many people live in washington ? ||| select state.population from state where state.state_name = ' washington ' ;

what is the lowest elevation in pennsylvania ? ||| select highlow.lowest_elevation from highlow where highlow.state_name = ' pennsylvania ' ;

how many states have a city named springfield ? ||| select count ( city.state_name ) from city where city.city_name = ' springfield ' ;

how many cities does texas have ? ||| select count ( city.city_name ) from city where city.state_name = ' texas ' ;

what states border rhode island ? ||| select border_info.border from border_info where border_info.state_name = ' rhode island ' ;

how many rivers do not traverse the state with the capital albany ? ||| select count ( river.river_name ) from river where river.traverse not in ( select state.state_name from state where state.capital = ' albany ' ) ;

what rivers run through maine ? ||| select river.river_name from river where river.traverse = ' maine ' ;

what state has the smallest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how many people are in the state of nevada ? ||| select state.population from state where state.state_name = ' nevada ' ;

what state is boston in ? ||| select city.state_name from city where city.city_name = ' boston ' ;

what states border states which the mississippi runs through ? ||| select border_info.border from border_info where border_info.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

what state has the city flint ? ||| select city.state_name from city where city.city_name = ' flint ' ;

how many rivers run through the states bordering colorado ? ||| select count ( river.river_name ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' colorado ' ) ;

what is the highest point in florida ? ||| select highlow.highest_point from highlow where highlow.state_name = ' florida ' ;

what states are next to texas ? ||| select border_info.border from border_info where border_info.state_name = ' texas ' ;

what is the most populous city in wyoming ? ||| select city.city_name from city where city.state_name = ' wyoming ' and city.population = ( select max ( city.population ) from city where city.state_name = ' wyoming ' ) ;

how many people live in new york ? ||| select state.population from state where state.state_name = ' new york ' ;

what rivers run through colorado ? ||| select river.river_name from river where river.traverse = ' colorado ' ;

what is the lowest point in the united states ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

which states border colorado ? ||| select border_info.border from border_info where border_info.state_name = ' colorado ' ;

what states border hawaii ? ||| select border_info.border from border_info where border_info.state_name = ' hawaii ' ;

what is the largest state bordering texas ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ) ;

what state is columbus the capital of ? ||| select state.state_name from state where state.capital = ' columbus ' ;

which state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what state contains the highest point in the us ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the longest river in the smallest state in the usa ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) ;

people in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;

what is the total area of the usa ? ||| select sum ( state.area ) from state ;

what city has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

which states border alaska ? ||| select border_info.border from border_info where border_info.state_name = ' alaska ' ;

what is the longest river in america ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the highest mountain in alaska ? ||| select highlow.highest_point from highlow where highlow.state_name = ' alaska ' ;

what is the smallest city in hawaii ? ||| select city.city_name from city where city.state_name = ' hawaii ' and city.population = ( select min ( city.population ) from city where city.state_name = ' hawaii ' ) ;

how many rivers are there in us ? ||| select count ( river.river_name ) from river ;

what is the population density of texas ? ||| select state.density from state where state.state_name = ' texas ' ;

how many people live in chicago ? ||| select city.population from city where city.city_name = ' chicago ' ;

what is the population of boston massachusetts ? ||| select city.population from city where city.city_name = ' boston ' and city.state_name = ' massachusetts ' ;

what is the most populated state bordering oklahoma ? ||| select distinct state.state_name from border_info , state where border_info.state_name = ' oklahoma ' and state.state_name = border_info.border and state.population = ( select max ( state.population ) from border_info , state where border_info.state_name = ' oklahoma ' and state.state_name = border_info.border ) ;

what mountains are in alaska ? ||| select mountain.mountain_name from mountain where mountain.state_name = ' alaska ' ;

what is the biggest city in nebraska ? ||| select city.city_name from city where city.state_name = ' nebraska ' and city.population = ( select max ( city.population ) from city where city.state_name = ' nebraska ' ) ;

how many people live in the smallest state bordering wyoming ? ||| select state.population from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) ) ;

which rivers flow through alaska ? ||| select river.river_name from river where river.traverse = ' alaska ' ;

what is the average population per square km in pennsylvania ? ||| select state.population / state.area from state where state.state_name = ' pennsylvania ' ;

state the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

how many states have major rivers ? ||| select count ( river.traverse ) from river where river.length > 750 ;

how many rivers in washington ? ||| select count ( river.river_name ) from river where river.traverse = ' washington ' ;

what rivers run through arizona ? ||| select river.river_name from river where river.traverse = ' arizona ' ;

what is the capital of georgia ? ||| select state.capital from state where state.state_name = ' georgia ' ;

what is the city with the smallest population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;

how many big cities are in pennsylvania ? ||| select count ( city.city_name ) from city where city.state_name = ' pennsylvania ' and city.population > 150000 ;

what is the area of idaho ? ||| select state.area from state where state.state_name = ' idaho ' ;

which states does the colorado run through ? ||| select river.traverse from river where river.river_name = ' colorado ' ;

what is the total length of all the rivers in the usa ? ||| select sum ( river.length ) from river ;

what states capital is dover ? ||| select state.state_name from state where state.capital = ' dover ' ;

how many states are there in the united states ? ||| select count ( state.state_name ) from state ;

how many states border the state whose capital is boston ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ( select state.state_name from state where state.capital = ' boston ' ) ;

give me the cities in california ? ||| select city.city_name from city where city.state_name = ' california ' ;

what are the states that the potomac run through ? ||| select river.traverse from river where river.river_name = ' potomac ' ;

what is the tallest mountain in us ? ||| select mountain.mountain_name from mountain where mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

what is the capital of the state with the lowest point ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

which is the smallest state bordering ohio ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) ) ;

what are major cities in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population > 150000 ;

how big is minnesota ? ||| select state.area from state where state.state_name = ' minnesota ' ;

which capitals are in states that border texas ? ||| select state.capital from state , border_info where border_info.border = state.state_name and border_info.state_name = ' texas ' ;

what is the area of the largest state in the us ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;

what is the smallest city in the smallest state ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

give me the longest river that runs through a state in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the population of missouri ? ||| select state.population from state where state.state_name = ' missouri ' ;

what cities in texas have highest populations ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

what is the density of new york ? ||| select state.density from state where state.state_name = ' new york ' ;

what is the largest state that the rio grande runs through ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' rio grande ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' rio grande ' ) ) ;

how many people live in missouri ? ||| select state.population from state where state.state_name = ' missouri ' ;

what rivers do not run through texas ? ||| select river.river_name from river where river.river_name not in ( select river.river_name from river where river.traverse = ' texas ' ) ;

what is the lowest point in the usa ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the largest city in minnesota ? ||| select city.city_name from city where city.state_name = ' minnesota ' and city.population = ( select max ( city.population ) from city where city.state_name = ' minnesota ' ) ;

what are the major cities in montana ? ||| select city.city_name from city where city.state_name = ' montana ' and city.population > 150000 ;

which is the highest mountain in the us ? ||| select mountain.mountain_name from mountain where and mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

what are the cities of the state with the lowest point ? ||| select city.city_name from city , highlow where city.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

which state is traversed by the most rivers ? ||| select river.traverse from river , state where river.traverse = state.state_name group by state_name order by count ( river.river_name ) desc limit 1 ;

what are the capital city in texas ? ||| select state.capital from state where state.state_name = ' texas ' ;

how many people live in boston ? ||| select city.population from city where city.city_name = ' boston ' ;

how many people live in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;

what is the capital of the largest state in usa ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

what are the major rivers in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length > 750 ;

what are the capitals of the states that border states bordering texas ? ||| select distinct state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border in ( select border_info.state_name from border_info where border_info.border = ' texas ' ) ) ;

citizens in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;

how many major cities are there in us ? ||| select count ( city.city_name ) from city where city.population > 150000 ;

how long is the hudson river ? ||| select river.length from river where river.river_name = ' hudson ' ;

what is the capital of the state that has the longest river ? ||| select state.capital from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) ;

what are the states next to the mississippi ? ||| select river.traverse from river where river.river_name = ' mississippi ' ;

what are the capitals of states that border texas ? ||| select state.capital from state , border_info where border_info.border = state.state_name and border_info.state_name = ' texas ' ;

what is the largest city ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

which rivers are in states that border texas ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ;

which states does the missouri run through ? ||| select river.traverse from river where river.river_name = ' missouri ' ;

which states border colorado and new mexico ? ||| select border_info.border from border_info where border_info.state_name = ' colorado ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' new mexico ' ) ;

what is the population of pennsylvania ? ||| select state.population from state where state.state_name = ' pennsylvania ' ;

how many rivers are in texas ? ||| select count ( river.river_name ) from river where river.traverse = ' texas ' ;

what is the area of the state with the largest population density ? ||| select state.area from state where state.density = ( select max ( state.density ) from state ) ;

what is the major cities in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population > 150000 ;

what are the cities in california ? ||| select city.city_name from city where city.state_name = ' california ' ;

what is the biggest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what states in the united states have a city of springfield ? ||| select city.state_name from city , state where city.state_name = state.state_name and city.city_name = ' springfield ' ;

what is the average population per square km in the us ? ||| select sum ( state.population ) / sum ( state.area ) from state ;

what is the population of austin texas ? ||| select city.population from city where city.city_name = ' austin ' and city.state_name = ' texas ' ;

what river flows through texas ? ||| select river.river_name from river where river.traverse = ' texas ' ;

how many states are next to major rivers ? ||| select count ( distinct river.traverse ) from river where river.length > 750 ;

which states have points higher than the highest point in colorado ? ||| select highlow.state_name from highlow where highlow.highest_elevation > ( select highlow.highest_elevation from highlow where highlow.state_name = ' colorado ' ) ;

in which state is rochester ? ||| select city.state_name from city where city.city_name = ' rochester ' ;

what state has the highest elevation ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what are the populations of the states through which the mississippi river runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

show major cities in colorado ? ||| select city.city_name from city where city.state_name = ' colorado ' and city.population > 150000 ;

what is the population of arizona ? ||| select state.population from state where state.state_name = ' arizona ' ;

what state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

what is the lowest point of colorado ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' colorado ' ;

what is the population of oregon ? ||| select state.population from state where state.state_name = ' oregon ' ;

states bordering iowa ? ||| select border_info.border from border_info where border_info.state_name = ' iowa ' ;

what is the population of the largest state ? ||| select state.population from state where state.area = ( select max ( state.area ) from state ) ;

what is the smallest state in the usa ? ||| select state.state_name from state where state.area = ( select min ( state.area ) from state ) ;

what states border missouri ? ||| select border_info.border from border_info where border_info.state_name = ' missouri ' ;

which state borders florida ? ||| select border_info.border from border_info where border_info.state_name = ' florida ' ;

what is the longest river in california ? ||| select river.river_name from river where river.traverse = ' california ' and river.length = ( select max ( river.length ) from river where river.traverse = ' california ' ) ;

how long is the rio grande river ? ||| select river.length from river where river.river_name = ' rio grande ' ;

where is austin ? ||| select city.state_name from city where city.city_name = ' austin ' ;

what is the smallest state that borders wyoming ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) ) ;

which rivers are in alaska ? ||| select river.river_name from river where river.traverse = ' alaska ' ;

what are the major cities in california ? ||| select city.city_name from city where city.state_name = ' california ' and city.population > 150000 ;

what is the population density of wyoming ? ||| select state.density from state where state.state_name = ' wyoming ' ;

where is massachusetts ? ||| select state.country_name from state where state.state_name = ' massachusetts ' ;

how many people live in texas ? ||| select state.population from state where state.state_name = ' texas ' ;

how many rivers run through texas ? ||| select count ( river.river_name ) from river where river.traverse = ' texas ' ;

what is the smallest state bordering ohio ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) ) ;

how high are the highest points of all the states ? ||| select highlow.highest_elevation from highlow ;

what is the longest river in the united states ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what are the rivers in the state of indiana ? ||| select river.river_name from river where river.traverse = ' indiana ' ;

what is the most populated capital in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

where is san antonio ? ||| select city.state_name from city where city.city_name = ' san antonio ' ;

what is the area of maryland in square kilometers ? ||| select state.area from state where state.state_name = ' maryland ' ;

how many major rivers cross ohio ? ||| select count ( river.river_name ) from river where river.traverse = ' ohio ' and river.length > 750 ;

what river flows through kansas ? ||| select river.river_name from river where river.traverse = ' kansas ' ;

give me the cities in usa ? ||| select city.city_name from city ;

what is the capital of indiana ? ||| select state.capital from state where state.state_name = ' indiana ' ;

what are the capitals of the states that border texas ? ||| select state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border = ' texas ' ) ;

what is the lowest point of the state with the largest area ? ||| select highlow.lowest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the longest river that runs through a state that borders tennessee ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ' tennessee ' order by river.length desc limit 1 ;

what is the population of maine ? ||| select state.population from state where state.state_name = ' maine ' ;

