what are the major rivers in the us ? ||| select river.river_name from river ;
what is the largest city in states that border california ? ||| select city.city_name from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' california ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' california ' ) ) ;

how many people live in the capital of texas ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.state_name = ' texas ' ) ;

what are the names of the major cities in illinois ? ||| select city.city_name from city where city.state_name = ' illinois ' and city.population > 150000 ;
what major cities are located in pennsylvania ? ||| select city.city_name from city where city.state_name = ' pennsylvania ' and city.population > 150000 ;
what are the major cities in new mexico ? ||| select city.city_name from city where city.state_name = ' new mexico ' and city.population > 150000 ;
what are the major cities in ohio ? ||| select city.city_name from city where city.state_name = ' ohio ' and city.population > 150000 ;
what are the major cities in oklahoma ? ||| select city.city_name from city where city.state_name = ' oklahoma ' and city.population > 150000 ;
what are the major cities in california ? ||| select city.city_name from city where city.state_name = ' california ' and city.population > 150000 ;
what are the major cities in wyoming ? ||| select city.city_name from city where city.state_name = ' wyoming ' and city.population > 150000 ;
what are the major cities in alaska ? ||| select city.city_name from city where city.state_name = ' alaska ' and city.population > 150000 ;
what are major cities in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population > 150000 ;
what are the major cities in rhode island ? ||| select city.city_name from city where city.state_name = ' rhode island ' and city.population > 150000 ;
show major cities in colorado ? ||| select city.city_name from city where city.state_name = ' colorado ' and city.population > 150000 ;
what are the major cities in north carolina ? ||| select city.city_name from city where city.state_name = ' north carolina ' and city.population > 150000 ;
what is the major cities in montana ? ||| select city.city_name from city where city.state_name = ' montana ' and city.population > 150000 ;
what is the major cities in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population > 150000 ;
what are the major cities in kansas ? ||| select city.city_name from city where city.state_name = ' kansas ' and city.population > 150000 ;
what are the major cities in alabama ? ||| select city.city_name from city where city.state_name = ' alabama ' and city.population > 150000 ;
what are the major cities in missouri ? ||| select city.city_name from city where city.state_name = ' missouri ' and city.population > 150000 ;
what are the major cities in montana ? ||| select city.city_name from city where city.state_name = ' montana ' and city.population > 150000 ;
what are the major cities in vermont ? ||| select city.city_name from city where city.state_name = ' vermont ' and city.population > 150000 ;
what are the major cities of texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population > 150000 ;
what are the major cities in delaware ? ||| select city.city_name from city where city.state_name = ' delaware ' and city.population > 150000 ;
what are the major cities in new york ? ||| select city.city_name from city where city.state_name = ' new york ' and city.population > 150000 ;

what is the length of the colorado river in texas ? ||| select river.length from river where river.river_name = ' colorado ' and river.traverse = ' texas ' ;

what is the longest river in the largest state ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ) ;

what is the highest point in kansas ? ||| select highlow.highest_point from highlow where highlow.state_name = ' kansas ' ;
what is the highest point in new mexico ? ||| select highlow.highest_point from highlow where highlow.state_name = ' new mexico ' ;
where is the highest point in montana ? ||| select highlow.highest_point from highlow where highlow.state_name = ' montana ' ;
where is the highest point in hawaii ? ||| select highlow.highest_point from highlow where highlow.state_name = ' hawaii ' ;
what is the highest point in colorado ? ||| select highlow.highest_point from highlow where highlow.state_name = ' colorado ' ;
what is the highest point in montana ? ||| select highlow.highest_point from highlow where highlow.state_name = ' montana ' ;
what is the highest point in wyoming ? ||| select highlow.highest_point from highlow where highlow.state_name = ' wyoming ' ;
what is the highest point in rhode island ? ||| select highlow.highest_point from highlow where highlow.state_name = ' rhode island ' ;
what is the highest point in virginia ? ||| select highlow.highest_point from highlow where highlow.state_name = ' virginia ' ;
what is the highest point in texas ? ||| select highlow.highest_point from highlow where highlow.state_name = ' texas ' ;
what is the highest point in maine ? ||| select highlow.highest_point from highlow where highlow.state_name = ' maine ' ;
what is the highest point in iowa ? ||| select highlow.highest_point from highlow where highlow.state_name = ' iowa ' ;
what is the highest point in ohio ? ||| select highlow.highest_point from highlow where highlow.state_name = ' ohio ' ;
could you tell me what is the highest point in the state of oregon ? ||| select highlow.highest_point from highlow where highlow.state_name = ' oregon ' ;
what is the highest point in florida ? ||| select highlow.highest_point from highlow where highlow.state_name = ' florida ' ;
what is the highest point in wyoming ? ||| select highlow.highest_point from highlow where highlow.state_name = ' wyoming ' ;
what is the highest mountain in alaska ? ||| select highlow.highest_point from highlow where highlow.state_name = ' alaska ' ;
what is the highest mountain in texas ? ||| select highlow.highest_point from highlow where highlow.state_name = ' texas ' ;
what is the high point of wyoming ? ||| select highlow.highest_point from highlow where highlow.state_name = ' wyoming ' ;

what is the population density of texas ? ||| select state.density from state where state.state_name = ' texas ' ;
what is the population density of maine ? ||| select state.density from state where state.state_name = ' maine ' ;
what is the population density of wyoming ? ||| select state.density from state where state.state_name = ' wyoming ' ;
what is the density of texas ? ||| select state.density from state where state.state_name = ' texas ' ;
what is the density of new york ? ||| select state.density from state where state.state_name = ' new york ' ;

what is the highest point in the united states ? ||| select highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the longest river that passes the states that border the state that borders the most states ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ( select border from border_info group by state_name order by count ( distinct border_info.border ) desc limit 1 ) order by river.length desc limit 1 ;

what is the lowest point of all states through which the colorado river runs through ? ||| select highlow.lowest_point from highlow where highlow.state_name in ( select river.traverse from river where river.river_name = ' colorado ' ) order by highlow.lowest_elevation limit 1 ;

what city has the least population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;
what is the smallest city in the usa ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;
what is the city with the smallest population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;
what is the smallest city in the us ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;

what are the major cities in the largest state ? ||| select city.city_name from city where city.population > 150000 and city.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the lowest point of the state with the largest area ? ||| select highlow.lowest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many major cities are in florida ? ||| select count ( city.city_name ) from city where city.state_name = ' florida ' and city.population > 150000 ;
how many major cities are there in oregon ? ||| select count ( city.city_name ) from city where city.state_name = ' oregon ' and city.population > 150000 ;
how many major cities are in arizona ? ||| select count ( city.city_name ) from city where city.state_name = ' arizona ' and city.population > 150000 ;
how many major cities are in texas ? ||| select count ( city.city_name ) from city where city.state_name = ' texas ' and city.population > 150000 ;
how many big cities are in pennsylvania ? ||| select count ( city.city_name ) from city where city.state_name = ' pennsylvania ' and city.population > 150000 ;

how high is the highest point in the largest state ? ||| select highlow.highest_elevation from highlow , state where highlow.state_name = state.state_name and state.area = ( select max ( state.area ) from state ) ;

what is the largest state that borders the state with the highest population ? ||| select state.state_name from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) ) ;

how long is the rio grande river ? ||| select river.length from river where river.river_name = ' rio grande ' ;
how long is the north platte river ? ||| select river.length from river where river.river_name = ' north platte ' ;
what is the length of the colorado river ? ||| select river.length from river where river.river_name = ' colorado ' ;
what length is the mississippi ? ||| select river.length from river where river.river_name = ' mississippi ' ;
how long is the ohio river ? ||| select river.length from river where river.river_name = ' ohio ' ;
how long is the delaware river ? ||| select river.length from river where river.river_name = ' delaware ' ;
how long is the missouri river ? ||| select river.length from river where river.river_name = ' missouri ' ;
how long is the colorado river ? ||| select river.length from river where river.river_name = ' colorado ' ;
how long is the mississippi river ? ||| select river.length from river where river.river_name = ' mississippi ' ;
how long is the mississippi ? ||| select river.length from river where river.river_name = ' mississippi ' ;
how long is rio grande ? ||| select river.length from river where river.river_name = ' rio grande ' ;
how long is the hudson river ? ||| select river.length from river where river.river_name = ' hudson ' ;
how long is the mississippi river in miles ? ||| select river.length from river where river.river_name = ' mississippi ' ;

how many colorado rivers are there ? ||| select count ( river.river_name ) from river where river.river_name = ' colorado ' ;
how many rivers are called colorado ? ||| select count ( river.river_name ) from river where river.river_name = ' colorado ' ;

how many major cities are in states bordering nebraska ? ||| select count ( city.city_name ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' nebraska ' ) and city.population > 150000 ;

what is the smallest state that borders texas ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ) ;
what is the smallest state bordering ohio ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) ) ;
which is the smallest state bordering ohio ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' ohio ' ) ) ;
what is the smallest state that borders wyoming ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) ) ;

give me the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
state the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the biggest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the biggest state in the usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the largest state in the us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the largest state in usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what state is the biggest ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the biggest state in continental us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the largest state bordering arkansas ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' arkansas ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' arkansas ' ) ) ;
what is the largest state bordering texas ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ) ;

what states does the shortest river run through ? ||| select river.traverse from river where river.length = ( select min ( river.length ) from river ) ;

what is the capital of states that have cities named durham ? ||| select state.capital from state , city where state.state_name = city.state_name and city.city_name = ' durham ' ;

what is the capital of the largest state ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;
what is the capital of the largest state in usa ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;
what is the capital city of the largest state in the us ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

what is the longest river in the state with the most major cities ? ||| select river.river_name from river where river.traverse = ( select city.state_name from city where city.population > 150000 group by city.state_name order by count ( city_name ) desc limit 1 ) order by river.length desc limit 1 ;

what mountains are in alaska ? ||| select mountain.mountain_name from mountain where mountain.state_name = ' alaska ' ;

how many citizens does the biggest city have in the usa ? ||| select city.population from city where city.population = ( select max ( city.population ) from city ) ;

what is the highest point of the state with the smallest population density ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.density = ( select min ( state.density ) from state ) ) ;

what is the biggest american city in a state with a river ? ||| select distinct city.city_name from city , river where city.state_name = river.traverse and city.population = ( select max ( city.population ) from city , river where city.state_name = river.traverse ) ;

what is the capital of the state that borders the most states ? ||| select state.capital from border_info , state where state.state_name = border_info.state_name group by ( border_info.state_name ) order by count ( distinct border_info.border ) desc limit 1 ;

how many people live in the state with the largest population density ? ||| select state.population from state where state.density = ( select max ( state.density ) from state ) ;
what is the population of the state with the highest population density ? ||| select state.population from state where state.density = ( select max ( state.density ) from state ) ;

what is the total length of all the rivers in the usa ? ||| select sum ( river.length ) from river ;

what is the largest state traversed by the mississippi river ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ) ;

where is the highest mountain of the united states ? ||| select mountain.state_name from mountain where mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

how many states have major rivers ? ||| select count ( river.traverse ) from river where river.length > 750 ;

which states border colorado and new mexico ? ||| select border_info.border from border_info where border_info.state_name = ' colorado ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' new mexico ' ) ;

name the states which have no surrounding states . ||| select state.state_name from state where state.state_name not in ( select border_info.state_name from border_info ) ;

what is the combined area of all 50 states ? ||| select sum ( state.area ) from state ;
what is the total area of the usa ? ||| select sum ( state.area ) from state ;
how many square kilometers in the us ? ||| select sum ( state.area ) from state ;
what is the area of all the states combined ? ||| select sum ( state.area ) from state ;

what is the longest river that runs through a state that borders tennessee ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ' tennessee ' order by river.length desc limit 1 ;

how many people live in the smallest state bordering wyoming ? ||| select state.population from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' wyoming ' ) ) ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ) ;

what state has the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what state has the greatest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
which state has the largest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
which state has the greatest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
which state has the highest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what is the most dense state in the usa ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what is the state with the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what state has the highest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what is the state with the largest density in usa ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

how many states border the largest state ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many cities are there in the us ? ||| select count ( city.city_name ) from city ;
how many cities are there in the united states ? ||| select count ( city.city_name ) from city ;
how many cities are there in the us ? ||| select count ( city.city_name ) from city ;
how many cities are there in usa ? ||| select count ( city.city_name ) from city ;
how many cities does the usa have ? ||| select count ( city.city_name ) from city ;

how many rivers are in the state that has the most rivers ? ||| select max ( tmp.rivers ) from ( select count ( river.river_name ) as rivers , traverse from river group by traverse ) as tmp ;

how long is the shortest river in the usa ? ||| select river.length from river where river.length = ( select min ( river.length ) from river ) ;

what is the area of the state with the smallest population density ? ||| select state.area from state where state.density = ( select min ( state.density ) from state ) ;

how long is the longest river in california ? ||| select river.length from river where river.traverse = ' california ' and river.length = ( select max ( river.length ) from river where river.traverse = ' california ' ) ;
what is the length of the longest river that runs through texas ? ||| select river.length from river where river.traverse = ' texas ' and river.length = ( select max ( river.length ) from river where river.traverse = ' texas ' ) ;

how many rivers run through the states bordering colorado ? ||| select count ( river.river_name ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' colorado ' ) ;

what is the elevation of death valley ? ||| select highlow.lowest_elevation from highlow where highlow.lowest_point = ' death valley ' ;

what is the longest river in america ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
what is the longest river ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
what is the longest river in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
which is the longest river in usa ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
give me the longest river that runs through a state in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
what is the longest river in the united states ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
give me the longest river that passes through the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
name the longest river in us . ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

how many states in the us does the shortest river run through ? ||| select count ( distinct river.traverse ) from river where river.length = ( select min ( distinct river.length ) from river ) ;

what is the highest elevation in the united states ? ||| select max ( highlow.highest_elevation ) from highlow ;
what is the height of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;
what is the elevation of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;
how high is the highest point in america ? ||| select max ( highlow.highest_elevation ) from highlow ;

what is the most populous state ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what is the most populous state in the us ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state has the largest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the biggest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the greatest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the most population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state has the highest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state is the largest in population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

how high is guadalupe peak ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' guadalupe peak ' ;
how high is mount mckinley ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' mckinley ' ;

what capital has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what capital is the largest in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is largest capital ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the biggest capital city in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the largest capital city in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the largest state capital in population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the most populated capital in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

how many capitals does rhode island have ? ||| select count ( state.capital ) from state where state.state_name = ' rhode island ' ;

what state has the shortest river ? ||| select distinct river.traverse from river where river.length = ( select min ( distinct river.length ) from river ) ;

what are the capitals of the states that border states bordering texas ? ||| select distinct state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border in ( select border_info.state_name from border_info where border_info.border = ' texas ' ) ) ;

what states border the most populous state ? ||| select border_info.border from border_info where border_info.state_name = ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

which state has the smallest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
which state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
which state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
which state has the lowest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what state has the smallest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what is the state with the lowest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how high are the highest points of all the states ? ||| select highlow.highest_elevation from highlow ;

what states border states that border mississippi ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' mississippi ' ) ;
what states border states that border colorado ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' colorado ' ) ;

what is the average population per square km in the us ? ||| select sum ( state.population ) / sum ( state.area ) from state ;

what is the height of mount mckinley ? ||| select mountain.mountain_altitude from mountain where mountain.mountain_name = ' mckinley ' ;
how tall is mount mckinley ? ||| select mountain.mountain_altitude from mountain where mountain.mountain_name = ' mckinley ' ;

which states does not border texas ? ||| select state.state_name from state where state.state_name not in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ;

how many rivers in texas are longer than the red ? ||| select count ( river.river_name ) from river where river.traverse = ' texas ' and river.length > ( select distinct river.length from river where river.river_name = ' red ' ) ;

what is the least populous state ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;
what state has the smallest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;
what is the state with the lowest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;

how many rivers are there in the us ? ||| select count ( river.river_name ) from river ;
how many rivers are there in us ? ||| select count ( river.river_name ) from river ;
how many rivers are there in us ? ||| select count ( river.river_name ) from river ;

what is the lowest point in the state of texas ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' texas ' ;
what is the lowest point in the state of california ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' california ' ;
what is the lowest point in oregon ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' oregon ' ;
what is the lowest point in louisiana ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' louisiana ' ;
what is the lowest point in texas ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' texas ' ;
what is the lowest point in california ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' california ' ;
where is the lowest point in maryland ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' maryland ' ;
what is the lowest point in arkansas ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' arkansas ' ;
what is the lowest point in massachusetts ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' massachusetts ' ;
what is the lowest point in wisconsin ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' wisconsin ' ;
what is the lowest point of colorado ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' colorado ' ;
what is the lowest point in mississippi ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' mississippi ' ;
what is the lowest point in nebraska in meters ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' nebraska ' ;

what is the capital of the state with the most inhabitants ? ||| select state.capital from state where state.population = ( select max ( state.population ) from state ) ;

what is the capital of the smallest state ? ||| select state.capital from state where state.area = ( select min ( state.area ) from state ) ;

which is the highest mountain in the us ? ||| select mountain.mountain_name from mountain where and mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

what are the highest points of states surrounding mississippi ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select border_info.border from border_info where border_info.state_name = ' mississippi ' ) ;

where are mountains ? ||| select mountain.state_name from mountain ;

how many people live in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
people in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
citizens in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
number of people in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
number of citizens in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
how many citizens in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
how many inhabitants does montgomery have ? ||| select city.population from city where city.city_name = ' montgomery ' ;
how many people live in kalamazoo ? ||| select city.population from city where city.city_name = ' kalamazoo ' ;
how many people live in boston ? ||| select city.population from city where city.city_name = ' boston ' ;
how many people live in houston ? ||| select city.population from city where city.city_name = ' houston ' ;
how many people live in san francisco ? ||| select city.population from city where city.city_name = ' san francisco ' ;
what is the population of atlanta ? ||| select city.population from city where city.city_name = ' atlanta ' ;
what is the population of boston ? ||| select city.population from city where city.city_name = ' boston ' ;
what is the population of atlanta ga ? ||| select city.population from city where city.city_name = ' atlanta ' ;
what is the population of san antonio ? ||| select city.population from city where city.city_name = ' san antonio ' ;
what is the population of sacramento ? ||| select city.population from city where city.city_name = ' sacramento ' ;
how many people live in austin ? ||| select city.population from city where city.city_name = ' austin ' ;
what is the population of new york city ? ||| select city.population from city where city.city_name = ' new york ' ;
how many people live in riverside ? ||| select city.population from city where city.city_name = ' riverside ' ;
what is the population of houston ? ||| select city.population from city where city.city_name = ' houston ' ;
what is the population of seattle ? ||| select city.population from city where city.city_name = ' seattle ' ;
what is the population of tucson ? ||| select city.population from city where city.city_name = ' tucson ' ;
what is the population of dallas ? ||| select city.population from city where city.city_name = ' dallas ' ;
what is the population of boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
population of boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;
boulder population ? ||| select city.population from city where city.city_name = ' boulder ' ;
how big is the city of new york ? ||| select city.population from city where city.city_name = ' new york ' ;
what is the population of washington dc ? ||| select city.population from city where city.city_name = ' washington dc ' ;
how many people lived in austin ? ||| select city.population from city where city.city_name = ' austin ' ;
what is the population of austin ? ||| select city.population from city where city.city_name = ' austin ' ;
how many people live in detroit ? ||| select city.population from city where city.city_name = ' detroit ' ;
how many people live in washington dc ? ||| select city.population from city where city.city_name = ' washington dc ' ;
how many people live in chicago ? ||| select city.population from city where city.city_name = ' chicago ' ;
what is the population of denver ? ||| select city.population from city where city.city_name = ' denver ' ;

what are the populations of states which border missouri ? ||| select state.population from state , border_info where border_info.border = state.state_name and border_info.state_name = ' missouri ' ;

what is the average population per square km in pennsylvania ? ||| select state.population / state.area from state where state.state_name = ' pennsylvania ' ;

name the 50 capitals in the usa . ||| select distinct state.capital from state ;

what are the populations of states through which the mississippi runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;
what are the populations of the states through which the mississippi runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;
what are the populations of the states through which the mississippi river runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;
what are the populations of states through which the mississippi river runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

of the states washed by the mississippi river which has the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow , river where ( river.river_name = ' mississippi ' ) and ( river.traverse = highlow.state_name ) ) ;

what is the length of the mississippi river ? ||| select river.length from river where river.river_name = ' mississippi ' ;

what are the states that border the state with the greatest population ? ||| select border_info.state_name from state , border_info where state.state_name = border_info.border and state.population = ( select max ( state.population ) from state ) ;

