what are the major rivers in the us ? ||| select river.river_name from river ;
what is the lowest point in the united states ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;
what is the lowest point in usa ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the largest city in states that border state0 ? ||| select city.city_name from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' state0 ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' state0 ' ) ) ;

how many people live in the capital of state0 ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.state_name = ' state0 ' ) ;

what are the names of the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what major cities are located in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
show major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what is the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what is the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities of state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;
what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the length of the river0 in state0 ? ||| select river.length from river where river.river_name = ' river0 ' and river.traverse = ' state0 ' ;

what is the longest river in the largest state ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ) ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
where is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
where is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
could you tell me what is the highest point in the state of state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest mountain in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the highest mountain in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;
what is the high point of state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what is the population density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;
what is the population density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;
what is the population density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;
what is the density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;
what is the density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;

what is the highest point in the united states ? ||| select highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the longest river that passes the states that border the state that borders the most states ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ( select border from border_info group by state_name order by count ( distinct border_info.border ) desc limit 1 ) order by river.length desc limit 1 ;

what is the lowest point of all states through which the river0 runs through ? ||| select highlow.lowest_point from highlow where highlow.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) order by highlow.lowest_elevation limit 1 ;

what city has the least population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;
what is the smallest city in the usa ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;
what is the city with the smallest population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;
what is the smallest city in the us ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;

what are the major cities in the largest state ? ||| select city.city_name from city where city.population > number0 and city.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the lowest point of the state with the largest area ? ||| select highlow.lowest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many major cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;
how many major cities are there in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;
how many major cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;
how many major cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;
how many big cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;

how high is the highest point in the largest state ? ||| select highlow.highest_elevation from highlow , state where highlow.state_name = state.state_name and state.area = ( select max ( state.area ) from state ) ;

what is the largest state that borders the state with the highest population ? ||| select state.state_name from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.state_name from border_info where border_info.border in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) ) ;

how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
what is the length of the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
what length is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;
how long is the river0 in miles ? ||| select river.length from river where river.river_name = ' river0 ' ;

how many river0 rivers are there ? ||| select count ( river.river_name ) from river where river.river_name = ' river0 ' ;
how many rivers are called river0 ? ||| select count ( river.river_name ) from river where river.river_name = ' river0 ' ;

how many major cities are in states bordering state0 ? ||| select count ( city.city_name ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and city.population > number0 ;

what is the smallest state that borders state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;
what is the smallest state bordering state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;
which is the smallest state bordering state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;
what is the smallest state that borders state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

give me the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
state the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the biggest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the biggest state in the usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the state with the largest area ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the largest state in the us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the largest state in usa ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what state is the biggest ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;
what is the biggest state in continental us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the largest state bordering state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;
what is the largest state bordering state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what states does the shortest river run through ? ||| select river.traverse from river where river.length = ( select min ( river.length ) from river ) ;

what is the capital of states that have cities named city0 ? ||| select state.capital from state , city where state.state_name = city.state_name and city.city_name = ' city0 ' ;

what is the capital of the largest state ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;
what is the capital of the largest state in usa ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;
what is the capital city of the largest state in the us ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

what is the longest river in the state with the most major cities ? ||| select river.river_name from river where river.traverse = ( select city.state_name from city where city.population > number0 group by city.state_name order by count ( city_name ) desc limit 1 ) order by river.length desc limit 1 ;

what mountains are in state0 ? ||| select mountain.mountain_name from mountain where mountain.state_name = ' state0 ' ;

how many citizens does the biggest city have in the usa ? ||| select city.population from city where city.population = ( select max ( city.population ) from city ) ;

what is the highest point of the state with the smallest population density ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.density = ( select min ( state.density ) from state ) ) ;

what is the biggest american city in a state with a river ? ||| select distinct city.city_name from city , river where city.state_name = river.traverse and city.population = ( select max ( city.population ) from city , river where city.state_name = river.traverse ) ;

what is the capital of the state that borders the most states ? ||| select state.capital from border_info , state where state.state_name = border_info.state_name group by ( border_info.state_name ) order by count ( distinct border_info.border ) desc limit 1 ;

how many people live in the state with the largest population density ? ||| select state.population from state where state.density = ( select max ( state.density ) from state ) ;
what is the population of the state with the highest population density ? ||| select state.population from state where state.density = ( select max ( state.density ) from state ) ;

what is the total length of all the rivers in the usa ? ||| select sum ( river.length ) from river ;

what is the largest state traversed by the river0 ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' state0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ) ;

where is the highest mountain of the united states ? ||| select mountain.state_name from mountain where mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

how many states have major rivers ? ||| select count ( river.traverse ) from river where river.length > number0 ;

which states border state0 and state1 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' state1 ' ) ;

name the states which have no surrounding states . ||| select state.state_name from state where state.state_name not in ( select border_info.state_name from border_info ) ;

what is the combined area of all number0 states ? ||| select sum ( state.area ) from state ;
what is the total area of the usa ? ||| select sum ( state.area ) from state ;
how many square kilometers in the us ? ||| select sum ( state.area ) from state ;
what is the area of all the states combined ? ||| select sum ( state.area ) from state ;

what is the longest river that runs through a state that borders state0 ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ' state0 ' order by river.length desc limit 1 ;

how many people live in the smallest state bordering state0 ? ||| select state.population from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ) ;

what state has the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what state has the greatest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
which state has the largest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
which state has the greatest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
which state has the highest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what is the most dense state in the usa ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what is the state with the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what state has the highest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;
what is the state with the largest density in usa ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

how many states border the largest state ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many cities are there in the us ? ||| select count ( city.city_name ) from city ;
how many cities are there in the united states ? ||| select count ( city.city_name ) from city ;
how many cities are there in the us ? ||| select count ( city.city_name ) from city ;
how many cities are there in usa ? ||| select count ( city.city_name ) from city ;
how many cities does the usa have ? ||| select count ( city.city_name ) from city ;

how many rivers are in the state that has the most rivers ? ||| select max ( tmp.rivers ) from ( select count ( river.river_name ) as rivers , traverse from river group by traverse ) as tmp ;

how long is the shortest river in the usa ? ||| select river.length from river where river.length = ( select min ( river.length ) from river ) ;

what is the area of the state with the smallest population density ? ||| select state.area from state where state.density = ( select min ( state.density ) from state ) ;

how long is the longest river in state0 ? ||| select river.length from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the length of the longest river that runs through state0 ? ||| select river.length from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

how many rivers run through the states bordering state0 ? ||| select count ( river.river_name ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

what is the elevation of low_point0 ? ||| select highlow.lowest_elevation from highlow where highlow.lowest_point = ' low_point0 ' ;

what is the longest river in america ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
what is the longest river ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
what is the longest river in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
which is the longest river in usa ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
give me the longest river that runs through a state in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
what is the longest river in the united states ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
give me the longest river that passes through the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;
name the longest river in us . ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

how many states in the us does the shortest river run through ? ||| select count ( distinct river.traverse ) from river where river.length = ( select min ( distinct river.length ) from river ) ;

what is the highest elevation in the united states ? ||| select max ( highlow.highest_elevation ) from highlow ;
what is the height of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;
what is the elevation of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;
how high is the highest point in america ? ||| select max ( highlow.highest_elevation ) from highlow ;

what is the most populous state ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what is the most populous state in the us ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state has the largest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the biggest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the greatest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
which state has the most population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state has the highest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;
what state is the largest in population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

how high is high_point0 ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' high_point0 ' ;
how high is high_point0 ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' high_point0 ' ;

what capital has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what capital is the largest in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is largest capital ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the biggest capital city in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the largest capital city in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the largest state capital in population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;
what is the most populated capital in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

how many capitals does state0 have ? ||| select count ( state.capital ) from state where state.state_name = ' state0 ' ;

what state has the shortest river ? ||| select distinct river.traverse from river where river.length = ( select min ( distinct river.length ) from river ) ;

what are the capitals of the states that border states bordering state0 ? ||| select distinct state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border in ( select border_info.state_name from border_info where border_info.border = ' state0 ' ) ) ;

what states border the most populous state ? ||| select border_info.border from border_info where border_info.state_name = ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

which state has the smallest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
which state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
which state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
which state has the lowest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what state has the smallest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;
what is the state with the lowest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how high are the highest points of all the states ? ||| select highlow.highest_elevation from highlow ;

what states border states that border state0 ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;
what states border states that border state0 ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

what is the average population per square km in the us ? ||| select sum ( state.population ) / sum ( state.area ) from state ;

what is the height of mountain0 ? ||| select mountain.mountain_altitude from mountain where mountain.mountain_name = ' mountain0 ' ;
how tall is mountain0 ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' mountain0 ' ;

which states does not border state0 ? ||| select state.state_name from state where state.state_name not in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

how many rivers in state0 are longer than the river0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' and river.length > all ( select river.length from river where river.river_name = ' river0 ' ) ;

what is the least populous state ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;
what state has the smallest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;
what is the state with the lowest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;

how many rivers are there in the us ? ||| select count ( river.river_name ) from river ;
how many rivers are there in us ? ||| select count ( river.river_name ) from river ;
how many rivers are there in us ? ||| select count ( river.river_name ) from river ;

what is the lowest point in the state of state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in the state of state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
where is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point of state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;
what is the lowest point in state0 in meters ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what is the capital of the state with the most inhabitants ? ||| select state.capital from state where state.population = ( select max ( state.population ) from state ) ;

what is the capital of the smallest state ? ||| select state.capital from state where state.area = ( select min ( state.area ) from state ) ;

which is the highest mountain in the us ? ||| select mountain.mountain_name from mountain where and mountain.mountain_altitude = ( select max ( mountain.mountain_altitude ) from mountain ) ;

what are the highest points of states surrounding state0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

where are mountains ? ||| select mountain.state_name from mountain ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
people in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
citizens in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
number of people in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
number of citizens in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many citizens in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many inhabitants does city0 have ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 state_abrev0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
city0 population ? ||| select city.population from city where city.city_name = ' city0 ' ;
how big is the city of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people lived in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;
what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what are the populations of states which border state0 ? ||| select state.population from state , border_info where border_info.border = state.state_name and border_info.state_name = ' state0 ' ;

what is the average population per square km in state0 ? ||| select state.population / state.area from state where state.state_name = ' state0 ' ;

name the 50 capitals in the usa . ||| select distinct state.capital from state ;

what are the populations of states through which the river0 runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;
what are the populations of the states through which the river0 runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;
what are the populations of the states through which the river0 river runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;
what are the populations of states through which the river0 runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

of the states washed by the river0 which has the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow , river where ( river.river_name = ' river0 ' ) and ( river.traverse = highlow.state_name ) ) ;

what is the length of the state0 river ? ||| select river.length from river where river.river_name = ' state0 ' ;

